Hospital_Name,OH_Region,Peer_Group,Reporting_Period,Indicator_Code,Avg_Hours,Patient_Volume,Pct_Within_Target,Target_Hours
SUNNYBROOK,Toronto,Teaching,2026-02,LOS_ADMITTED,20.48,1153,25.0,8.0
HSN Sudbury,North,Teaching,2024-09,LOS_HIGH_URGENCY,8.21,1585,80.4,8.0
THP Mississauga,Central,Large Community,202503,WT_PHYS_ASSESS,2.41,4548,76.1,2.0
Peterborough Regional,East,Large Community,2025-11,LOS_HIGH_URGENCY,6.15,2031,95.0,8.0
NYGH,Toronto,Large Community,2024-10,LOS_ADMITTED,14.68,799,33.8,8.0
Brampton Civic Hospital,Central,Large Community,202604,LOS_LOW_URGENCY,4.96,3194,68.0,4.0
HHS General Site,West,Teaching,2026-03,LOS_ADMITTED,14.3,900,38.0,8.0
Brampton Civic Hospital,Central,Large Community,202504,LOS_LOW_URGENCY,5.19,2948,69.9,4.0
Windsor Regional Hospital - Ouellette,West,Large Community,202605,LOS_HIGH_URGENCY,6.3,1808,95.0,8.0
North York General Hospital,Toronto,Large Community,2024-09-01,LOS_ADMITTED,13.77,803,41.8,8.0
Scarborough General,Toronto,Large Community,2026-04,LOS_ADMITTED,15.09,989,38.2,8.0
PRHC,East,Large Community,202506,LOS_LOW_URGENCY,4.7,2839,71.3,4.0
Osler Brampton Civic,Central,Large Community,2024-10-01,LOS_ADMITTED,15.03,971,32.5,8.0
Thunder Bay Regional,North,Teaching,202508,LOS_LOW_URGENCY,4.45,3042,78.7,4.0
Health Sciences North,North,Teaching,2026-02,LOS_ADMITTED,17.45,,25.0,8.0
Royal Victoria Regional Health Centre,Central,Large Community,2025-01,los_high_urgency,7.56,2091,83.5,8.0
St Michaels Hospital,Toronto,Teaching,2024-07,LOS_LOW_URGENCY,6.01,2745,53.7,4.0
Peterborough Regional Health Centre,East,Large Community,2026-03-01,LOS_HIGH_URGENCY,5.82,1736,,8.0
WRH Ouellette,West,Large Community,1/2026,LOS_LOW_URGENCY,5.07,3260,66.6,4.0
Oak Valley Health - Markham,Central,Large Community,202606,LOS_HIGH_URGENCY,7.77,1567,85.3,8.0
Niagara Health - St. Catharines,West,Large Community,2025-10,los_high_urgency,7.56,1520,88.0,8.0
Unity Health - St. Michael's,Toronto,Teaching,2024-10,WT_PHYS_ASSESS,2.64,4137,68.7,2.0
Toronto General Hospital,Toronto,Teaching,2025-09,LOS_HIGH_URGENCY,7.01,1783,90.0,8.0
Thunder Bay Regional,North,Teaching,1/2025,LOS_HIGH_URGENCY,9.5,2529,72.7,8.0
Royal Victoria Barrie,Central,Large Community,1/2026,WT_PHYS_ASSESS,2.81,4884,58.5,2.0
Osler Brampton Civic,Central,Large Community,202503,LOS_ADMITTED,15.51,949,33.2,8.0
Markham Stouffville,Central,Large Community,2025-12,LOS_ADMITTED,19.45,1247,25.0,8.0
Hamilton General,West,Teaching,2026-02-01,WT_PHYS_ASSESS,2.76,5325,59.6,2.0
Niagara Health - St. Catharines,West,Large Community,2024-07,LOS_LOW_URGENCY,4.89,2458,68.9,4.0
Niagara Health - St. Catharines,West,Large Community,202606,LOS_ADMITTED,,994,43.9%,8.0
TBRHSC,North,Teaching,2025-11-01,LOS_HIGH_URGENCY,6.15,2003,95.0,8.0
St Michaels Hospital,Toronto,Teaching,202604,LOS_HIGH_URGENCY,9.0,1827,72.8,8.0
Kingston General Hospital,East,Teaching,2/2025,LOS_ADMITTED,15.46,897,32.0,8.0
St Michaels Hospital,Toronto,Teaching,2025-08-01,LOS_ADMITTED,13.89,852,41.8,8.0
North York General,Toronto,Large Community,2026-07,LOS_LOW_URGENCY,5.28,2988,66.3,4.0
NYGH,Toronto,Large Community,5/2025,LOS_HIGH_URGENCY,8.32,1834,81.7,8.0
Royal Victoria Barrie,Central,Large Community,202411,LOS_HIGH_URGENCY,8.18,1633,,8.0
St Michaels Hospital,Toronto,Teaching,2026-04-01,LOS_LOW_URGENCY,5.85,2625,59.9,4.0
Lakeridge Health - Oshawa,Central,Large Community,2024-08-01,LOS_HIGH_URGENCY,6.31,2169,92.3,8.0
Scarborough General,Toronto,Large Community,2025-02,LOS_ADMITTED,19.4,1185,25.0,8.0
Windsor Regional Hospital - Ouellette,West,Large Community,2026-02,WT_PHYS_ASSESS,2.23,4802,79.0,2.0
Markham Stouffville Hospital,Central,Large Community,11/2024,LOS_LOW_URGENCY,5.71,2776,60.5,4.0
Royal Victoria Regional Health Centre,Central,Large Community,7/2024,WT_PHYS_ASSESS,1.7,3637,90.3,2.0
Lakeridge Oshawa,Central,Large Community,2024-09,LOS_HIGH_URGENCY,8.1,1941,83.1,8.0
Scarborough Health Network - General,Toronto,Large Community,2024-11,LOS_HIGH_URGENCY,7.88,1776,87.7,8.0
Osler Brampton Civic,Central,Large Community,2026-04-01,LOS_HIGH_URGENCY,6.2,1766,95.0,8.0
Grand River Hosp,West,Large Community,2025-08-01,LOS_ADMITTED,13.21,702,44.0,8.0
Peterborough Regional Health Centre,East,Large Community,8/2024,LOS_HIGH_URGENCY,6.67,1619,94.8,8.0
London Health Sciences Centre - Victoria,West,Teaching,2024-07-01,WT_PHYS_ASSESS,1.87,4463,83.4,2.0
Health Sciences North,North,Teaching,2024-08,LOS_LOW_URGENCY,5.31,3303,68.6,4.0
Hamilton Health Sciences - General,West,Teaching,2025-03-01,LOS_HIGH_URGENCY,8.3,1704,84.7%,8.0
North York General Hospital,Toronto,Large Community,12/2024,LOS_ADMITTED,17.3,977,25.0,8.0
HSN Sudbury,North,Teaching,202407,WT_PHYS_ASSESS,2.41,4071,74.4,2.0
Toronto General Hosp.,Toronto,Teaching,2026-01,LOS_HIGH_URGENCY,8.73,1991,79.0,8.0
St Catharines General,West,Large Community,2025-01,LOS_ADMITTED,15.49,908,33.2,8.0
SUNNYBROOK,Toronto,Teaching,2025-07,LOS_HIGH_URGENCY,8.05,2004,81.4,8.0
Windsor Ouellette Campus,West,Large Community,202412,LOS_LOW_URGENCY,5.58,2537,60.3,4.0
Mississauga Hospital,Central,Large Community,2024-09,LOS_ADMITTED,14.12,1015,44.6,8.0
RVH Barrie,Central,Large Community,2025-04,LOS_ADMITTED,12.72,992,52.6,8.0
Markham Stouffville Hospital,Central,Large Community,4/2025,los_low_urgency,5.45,2492,63.1,4.0
LHSC Victoria,West,Teaching,2025-01,LOS_LOW_URGENCY,6.64,3532,49.3,4.0
Windsor Ouellette Campus,West,Large Community,2024-09,LOS_LOW_URGENCY,5.48,2508,59.6,4.0
Kingston General Hospital,EAST,Teaching,12/2024,WT_PHYS_ASSESS,2.12,3900,82.0,2.0
Oshawa General,Central,Large Community,2026-01-01,WT_PHYS_ASSESS,2.51,4087,67.8,2.0
Oshawa General,Central,Large Community,2026-01-01,LOS_HIGH_URGENCY,7.94,,80.3,8.0
Royal Victoria Barrie,CENTRAL,Large Community,2024-09,LOS_HIGH_URGENCY,6.69,2221,94.5,8.0
Scarborough Health Network - General,Toronto,Large Community,2025-11,WT_PHYS_ASSESS,2.56,3466,65.5,2.0
William Osler Health System - Brampton Civic,Central,Large Community,2026-02,LOS_HIGH_URGENCY,6.7,2049,93.0,8.0
Thunder Bay Regional Health Sciences Centre,North,Teaching,2024-07-01,WT_PHYS_ASSESS,2.44,4522,67.5,2.0
Windsor Ouellette Campus,West,Large Community,202502,LOS_ADMITTED,18.97,810,25.0,8.0
St. Michael's Hospital,Toronto,Teaching,2026-03-01,WT_PHYS_ASSESS,2.76,4062,65.6,2.0
Peterborough Regional,East,Large Community,202412,WT_PHYS_ASSESS,2.08,4985,79.5,2.0
Sunnybrook HSC,Toronto,Teaching,2025-12-01,WT_PHYS_ASSESS,2.29,5028,74.9,2.0
Scarborough Health Network - General,Toronto,Large Community,2025-07-01,WT_PHYS_ASSESS,2.1,4308,83.2,2.0
TORONTO GENERAL,Toronto,Teaching,7/2025,LOS_HIGH_URGENCY,7.5,2088,88.3,8.0
Thunder Bay Regional Health Sciences Centre,North,Teaching,2024-11,WT_PHYS_ASSESS,2.44,4960,71.7,2.0
SHN General,Toronto,Large Community,6/2026,LOS_LOW_URGENCY,5.33,3276,67.2,4.0
TOH Civic,East,Teaching,202507,WT_PHYS_ASSESS,2.13,3350,79.0,2.0
Osler Brampton Civic,CENTRAL,Large Community,202408,LOS_HIGH_URGENCY,7.76,1786,,8.0
Osler Brampton Civic,Central,Large Community,2025-08-01,LOS_ADMITTED,12.39,844,56.9,8.0
Lakeridge Health - Oshawa,Central,Large Community,2025-05,WT_PHYS_ASSESS,1.97,3945,80.5,2.0
SUNNYBROOK,Toronto,Teaching,2026-03,LOS_LOW_URGENCY,6.66,2374,44.9,4.0
Brampton Civic Hospital,Central,Large Community,12/2025,LOS_LOW_URGENCY,4.83,2521,69.8,4.0
Brampton Civic Hospital,Central,Large Community,202508,LOS_HIGH_URGENCY,7.25,1557,92.0,8.0
Sudbury Regional Hospital,North,Teaching,2025-07-01,WT_PHYS_ASSESS,2.21,3585,77.8,2.0
Oshawa General,Central,Large Community,4/2025,WT_PHYS_ASSESS,1.99,4178,81.6%,2.0
Lakeridge Oshawa,Central,Large Community,2026-07-01,LOS_ADMITTED,13.56,1030,46.0,8.0
Niagara Health SCS,West,Large Community,2024-11-01,WT_PHYS_ASSESS,2.16,4520,79.3,2.0
HSN Sudbury,North,Teaching,2026-06-01,los_high_urgency,7.72,1594,86.0,8.0
Hamilton General,West,Teaching,2025-12-01,LOS_ADMITTED,20.42,1106,25.0,8.0
GRH Kitchener,West,Large Community,2026-01-01,LOS_LOW_URGENCY,5.76,3606,63.1,4.0
Sunnybrook HSC,Toronto,Teaching,7/2024,LOS_ADMITTED,18.57,931,25.0,8.0
Thunder Bay Regional Health Sciences Centre,North,Teaching,7/2026,LOS_HIGH_URGENCY,7.33,1688,84.5,8.0
Grand River Hosp,West,Large Community,2026-02,LOS_ADMITTED,16.75,835,27.3,8.0
TOH Civic,East,Teaching,2025-12,WT_PHYS_ASSESS,2.09,5746,83.0,2.0
Windsor Ouellette Campus,West,Large Community,202602,LOS_LOW_URGENCY,4.58,3061,77.8,4.0
North York General Hospital,Toronto,Large Community,10/2024,LOS_LOW_URGENCY,5.73,3118,57.6,4.0
Royal Victoria Regional Health Centre,Central,Large Community,10/2024,LOS_LOW_URGENCY,5.55,3002,66.0,4.0
Sunnybrook HSC,Toronto,Teaching,2025-03,WT_PHYS_ASSESS,2.09,3944,83.6,2.0
Peterborough Regional,East,Large Community,2025-04,LOS_HIGH_URGENCY,5.98,2202,94.8%,8.0
Health Sciences North,North,Teaching,2025-02,LOS_ADMITTED,17.52,971,25.0%,8.0
Kingston Health Sciences Centre,East,Teaching,2026-04-01,LOS_ADMITTED,17.02,721,25.0,8.0
Hamilton General,West,Teaching,202601,WT_PHYS_ASSESS,2.08,5872,79.8,2.0
RVH Barrie,Central,Large Community,2025-06,LOS_ADMITTED,15.51,903,34.6,8.0
Scarborough Health Network - General,Toronto,Large Community,2026-02-01,LOS_HIGH_URGENCY,7.08,1740,90.5,8.0
The Ottawa Hospital Civic,East,Teaching,2025-08-01,LOS_ADMITTED,14.13,972,40.2,8.0
Toronto General Hospital,Toronto,Teaching,5/2026,LOS_ADMITTED,19.25,757,25.0,8.0
SHN General,Toronto,Large Community,2026-05,WT_PHYS_ASSESS,2.05,3454,84.7,2.0
Kingston Health Sciences Centre,East,Teaching,3/2025,LOS_HIGH_URGENCY,6.13,1768,95.0,8.0
Toronto General Hospital,Toronto,Teaching,202408,LOS_ADMITTED,15.86,768,32.3,8.0
Windsor Ouellette Campus,West,Large Community,1/2025,LOS_LOW_URGENCY,5.23,3525,,4.0
Royal Victoria Barrie,Central,Large Community,202512,WT_PHYS_ASSESS,2.3,5771,73.4,2.0
Markham Stouffville,Central,Large Community,202409,WT_PHYS_ASSESS,2.26,3968,72.9,2.0
North York General Hospital,TORONTO,Large Community,202503,WT_PHYS_ASSESS,2.58,4673,68.0,2.0
Sunnybrook Health Sciences Centre,Toronto,Teaching,202503,LOS_ADMITTED,17.97,757,25.0,8.0
Health Sciences North,North,Teaching,2025-12-01,LOS_HIGH_URGENCY,9.07,,75.6,8.0
GRH Kitchener,WEST,Large Community,8/2024,LOS_LOW_URGENCY,-1.0,2414,95.0,4.0
Grand River Hosp,West,Large Community,11/2024,LOS_HIGH_URGENCY,6.01,2204,95.0,8.0
Scarborough General,Toronto,Large Community,2026-02-01,LOS_LOW_URGENCY,5.27,3793,69.9,4.0
SUNNYBROOK,Toronto,Teaching,8/2024,LOS_ADMITTED,15.21,841,32.6,8.0
Sudbury Regional Hospital,North,Teaching,2026-04-01,LOS_HIGH_URGENCY,8.51,1738,78.7,8.0
UHN - Toronto General,Toronto,Teaching,2/2026,LOS_LOW_URGENCY,6.24,2694,49.7,4.0
HSN Sudbury,North,Teaching,2026-01-01,LOS_HIGH_URGENCY,7.25,2572,92.3,8.0
Sunnybrook HSC,Toronto,Teaching,202411,LOS_ADMITTED,17.97,817,25.0,8.0
Sunnybrook Health Sciences Centre,Toronto,Teaching,2026-03,LOS_ADMITTED,18.49,753,25.0,8.0
UHN - Toronto General,Toronto,Teaching,1/2025,LOS_HIGH_URGENCY,9.62,2588,,8.0
Hamilton General,West,Teaching,2024-09-01,LOS_ADMITTED,17.14,1076,25.0,8.0
Windsor Ouellette Campus,West,Large Community,2/2025,WT_PHYS_ASSESS,2.05,3822,,2.0
Grand River Hospital,WEST,Large Community,2025-01-01,LOS_LOW_URGENCY,4.65,3917,78.3,4.0
Niagara Health SCS,West,Large Community,202501,LOS_LOW_URGENCY,5.97,3280,55.7,4.0
Niagara Health - St. Catharines,West,Large Community,2025-06-01,WT_PHYS_ASSESS,1.69,4962,93.2,2.0
TBRHSC,North,Teaching,5/2025,LOS_HIGH_URGENCY,7.9,1674,80.2,8.0
Brampton Civic Hospital,Central,Large Community,2025-10,LOS_LOW_URGENCY,5.66,2608,61.0,4.0
Peterborough Regional Health Centre,East,Large Community,2025-10-01,LOS_ADMITTED,16.58,867,25.0,8.0
WRH Ouellette,West,Large Community,2025-06-01,LOS_LOW_URGENCY,4.62,2852,78.6%,4.0
Hamilton General,West,Teaching,2024-08-01,LOS_LOW_URGENCY,4.22,3166,77.3,4.0
Health Sciences North,North,Teaching,2025-01-01,los_low_urgency,6.83,3339,46.5,4.0
Thunder Bay Regional,North,Teaching,2024-12,WT_PHYS_ASSESS,2.29,4174,78.1,2.0
Sunnybrook Health Sciences Centre,Toronto,Teaching,2024-11,WT_PHYS_ASSESS,2.28,3547,74.0,2.0
Hamilton General,West,Teaching,202410,LOS_ADMITTED,16.3,1053,27.2,8.0
Thunder Bay Regional Health Sciences Centre,North,Teaching,2025-03,LOS_HIGH_URGENCY,7.7,2056,85.7,8.0
William Osler Health System - Brampton Civic,Central,Large Community,12/2024,WT_PHYS_ASSESS,2.14,4194,76.4,2.0
Lakeridge Health - Oshawa,Central,Large Community,6/2026,LOS_LOW_URGENCY,4.75,2836,76.5,4.0
SHN General,Toronto,Large Community,2024-10-01,LOS_HIGH_URGENCY,7.22,1615,88.5,8.0
St Michaels Hospital,Toronto,Teaching,6/2026,LOS_LOW_URGENCY,6.04,2182,58.6,4.0
Peterborough Regional Health Centre,East,Large Community,202607,LOS_HIGH_URGENCY,7.13,2207,90.7,8.0
London Victoria Hospital,West,Teaching,2026-01-01,LOS_LOW_URGENCY,6.71,2772,43.1%,4.0
Kingston Health Sciences Centre,East,Teaching,6/2026,WT_PHYS_ASSESS,2.25,3587,78.0,2.0
Royal Victoria Barrie,Central,Large Community,2024-10,WT_PHYS_ASSESS,1.83,3718,91.6,2.0
UHN - Toronto General,Toronto,Teaching,2025-07,LOS_LOW_URGENCY,5.25,3181,63.0,4.0
Grand River Hospital,West,Large Community,2024-08-01,LOS_HIGH_URGENCY,6.68,1847,95.0,8.0
Sudbury Regional Hospital,North,Teaching,6/2026,LOS_LOW_URGENCY,5.86,2279,61.2,4.0
Niagara Health - St. Catharines,West,Large Community,202505,WT_PHYS_ASSESS,2.08,3471,83.6,2.0
WRH Ouellette,West,Large Community,2025-04-01,LOS_ADMITTED,,828,42.4,8.0
Trillium Health Partners - Mississauga,Central,Large Community,1/2026,WT_PHYS_ASSESS,2.14,4388,77.1,2.0
Thunder Bay Regional,North,Teaching,202511,LOS_LOW_URGENCY,4.92,2340,74.5,4.0
Kingston General Hospital,East,Teaching,202412,LOS_HIGH_URGENCY,7.94,1744,,8.0
Sunnybrook HSC,Toronto,Teaching,2026-02-01,WT_PHYS_ASSESS,2.61,4639,67.2,2.0
SUNNYBROOK,Toronto,Teaching,2024-07-01,LOS_LOW_URGENCY,6.02,2393,55.8,4.0
Thunder Bay Regional,North,Teaching,10/2025,WT_PHYS_ASSESS,1.92,3391,89.1,2.0
TORONTO GENERAL,Toronto,Teaching,9/2024,LOS_HIGH_URGENCY,8.72,,79.1,8.0
North York General Hospital,Toronto,Large Community,2024-11-01,LOS_HIGH_URGENCY,8.45,1852,83.8,8.0
Toronto General Hosp.,Toronto,Teaching,5/2025,LOS_HIGH_URGENCY,7.14,1799,87.5%,8.0
Windsor Regional Hospital - Ouellette,West,Large Community,202607,LOS_ADMITTED,12.89,725,48.4,8.0
Thunder Bay Regional Health Sciences Centre,North,Teaching,202506,LOS_ADMITTED,17.08,904,25.0,8.0
Thunder Bay Regional,North,Teaching,2026-03-01,LOS_ADMITTED,17.62,1039,25.0,8.0
Health Sciences North,North,Teaching,2024-09,LOS_ADMITTED,16.7,1050,25.0,8.0
UHN - Toronto General,Toronto,Teaching,2025-12,LOS_HIGH_URGENCY,9.25,2552,76.0,8.0
TORONTO GENERAL,Toronto,Teaching,3/2026,WT_PHYS_ASSESS,2.7,5137,67.5,2.0
Toronto General Hospital,Toronto,Teaching,8/2024,LOS_LOW_URGENCY,5.32,3312,,4.0
Royal Victoria Barrie,Central,Large Community,2026-02,WT_PHYS_ASSESS,2.65,4653,65.9,2.0
St. Michael's Hospital,Toronto,Teaching,2025-10-01,LOS_ADMITTED,18.81,790,25.0,8.0
Thunder Bay Regional,North,Teaching,2025-12,LOS_ADMITTED,18.99,1127,25.0,8.0
Scarborough General,Toronto,Large Community,202412,WT_PHYS_ASSESS,2.93,4347,55.3,2.0
Sudbury Regional Hospital,North,Teaching,2026-01-01,LOS_ADMITTED,19.52,880,25.0,8.0
Ottawa Hospital - Civic Campus,East,Teaching,2025-05,WT_PHYS_ASSESS,2.31,5103,71.9,2.0
Grand River Hosp,West,Large Community,2024-10,WT_PHYS_ASSESS,2.24,4120,78.8,2.0
London Health Sciences Centre - Victoria,West,Teaching,2025-05,WT_PHYS_ASSESS,2.05,3663,79.6,2.0
Kingston Health Sciences Centre,East,Teaching,202603,LOS_HIGH_URGENCY,7.71,1877,84.5,8.0
North York General Hospital,Toronto,Large Community,2024-07,LOS_ADMITTED,14.64,758,37.7%,8.0
William Osler Health System - Brampton Civic,Central,Large Community,8/2024,WT_PHYS_ASSESS,2.2,3575,77.2,2.0
Niagara Health SCS,West,Large Community,2025-05,LOS_HIGH_URGENCY,5.8,2238,95.0,8.0
Niagara Health - St. Catharines,West,Large Community,2024-09-01,LOS_LOW_URGENCY,4.98,3455,73.5,4.0
Scarborough Health Network - General,Toronto,Large Community,2025-10,LOS_LOW_URGENCY,5.54,2376,62.7,4.0
Royal Victoria Barrie,Central,Large Community,1/2026,LOS_ADMITTED,19.3,1130,25.0,8.0
Windsor Ouellette Campus,West,Large Community,11/2025,WT_PHYS_ASSESS,1.76,3541,91.3,2.0
Brampton Civic Hospital,Central,Large Community,11/2025,LOS_HIGH_URGENCY,8.02,2163,81.7,8.0
Osler Brampton Civic,Central,Large Community,3/2025,LOS_HIGH_URGENCY,6.82,1879,88.3,8.0
Thunder Bay Regional Health Sciences Centre,North,Teaching,202506,LOS_HIGH_URGENCY,6.63,1636,90.5,8.0
St. Michael's Hospital,Toronto,Teaching,2026-04-01,WT_PHYS_ASSESS,2.81,5045,62.2,2.0
Sudbury Regional Hospital,North,Teaching,2024-11-01,LOS_HIGH_URGENCY,8.0,2032,80.5,8.0
SHN General,Toronto,Large Community,202410,LOS_LOW_URGENCY,5.33,2361,,4.0
SUNNYBROOK,Toronto,Teaching,202604,LOS_ADMITTED,17.0,812,25.0,8.0
Hamilton Health Sciences - General,West,Teaching,202501,LOS_LOW_URGENCY,5.67,2559,62.6,4.0
Toronto General Hosp.,Toronto,Teaching,2025-06-01,LOS_HIGH_URGENCY,7.34,1744,84.9,8.0
TOH Civic,East,Teaching,2024-11-01,LOS_ADMITTED,,1107,41.9,8.0
HHS General Site,West,Teaching,2026-05-01,LOS_ADMITTED,13.04,974,48.2,8.0
TBRHSC,North,Teaching,202605,LOS_HIGH_URGENCY,8.04,2118,83.2,8.0
Lakeridge Health - Oshawa,Central,Large Community,202507,WT_PHYS_ASSESS,2.2,4899,81.7,2.0
THP Mississauga,Central,Large Community,6/2026,LOS_LOW_URGENCY,5.06,2161,65.1,4.0
Grand River Hosp,West,Large Community,2026-07,LOS_LOW_URGENCY,4.14,2582,80.2,4.0
William Osler Health System - Brampton Civic,Central,Large Community,2025-06,LOS_HIGH_URGENCY,6.59,2061,90.0,8.0
SHN General,Toronto,Large Community,202503,LOS_HIGH_URGENCY,7.07,2307,90.8,8.0
Sudbury Regional Hospital,North,Teaching,8/2025,LOS_ADMITTED,13.21,766,49.2,8.0
Hamilton Health Sciences - General,West,Teaching,202607,WT_PHYS_ASSESS,2.02,3513,84.4,2.0
Trillium Health Partners - Mississauga,Central,Large Community,2026-04,LOS_ADMITTED,16.59,972,25.8,8.0
London Victoria Hospital,West,Teaching,202411,WT_PHYS_ASSESS,2.07,4767,79.5,2.0
Niagara Health SCS,West,Large Community,2024-10-01,LOS_HIGH_URGENCY,,2151,93.2,8.0
NYGH,Toronto,Large Community,2025-11-01,LOS_ADMITTED,13.77,823,41.1,8.0
Peterborough Regional Health Centre,East,Large Community,2025-06-01,LOS_HIGH_URGENCY,6.9,1722,88.5,8.0
Niagara Health SCS,West,Large Community,2025-02,LOS_LOW_URGENCY,4.83,3541,71.2,4.0
North York General Hospital,Toronto,Large Community,12/2025,WT_PHYS_ASSESS,2.94,4534,58.6,2.0
London Victoria Hospital,West,Teaching,2026-03,WT_PHYS_ASSESS,2.17,3664,76.7,2.0
St. Michael's Hospital,Toronto,Teaching,2024-12-01,WT_PHYS_ASSESS,2.96,4045,57.9,2.0
TOH Civic,East,Teaching,202603,LOS_HIGH_URGENCY,6.61,1997,90.6,8.0
Grand River Hosp,West,Large Community,2/2025,LOS_LOW_URGENCY,-1.0,3110,95.0,4.0
SUNNYBROOK,Toronto,Teaching,202603,LOS_HIGH_URGENCY,7.22,2116,90.9,8.0
SHN General,Toronto,Large Community,202408,LOS_ADMITTED,15.4,735,35.8,8.0
THP Mississauga,Central,Large Community,3/2025,LOS_LOW_URGENCY,4.95,2901,70.2,4.0
Hamilton Health Sciences - General,West,Teaching,12/2024,LOS_ADMITTED,17.89,1087,25.0,8.0
Windsor Regional Hospital - Ouellette,WEST,Large Community,2025-04-01,LOS_LOW_URGENCY,5.29,3002,65.9,4.0
SHN General,Toronto,Large Community,1/2025,WT_PHYS_ASSESS,2.64,5594,66.9,2.0
Scarborough Health Network - General,Toronto,Large Community,2025-04,LOS_ADMITTED,16.42,741,25.0,8.0
London Health Sciences Centre - Victoria,West,Teaching,2026-05,LOS_ADMITTED,16.69,944,26.4,8.0
Kingston Health Sciences Centre,East,Teaching,2025-08,WT_PHYS_ASSESS,2.41,3423,69.4,2.0
HHS General Site,West,Teaching,2025-07-01,LOS_ADMITTED,14.87,852,39.2,8.0
Hamilton General,West,Teaching,2024-11-01,WT_PHYS_ASSESS,2.46,3440,67.1,2.0
North York General,Toronto,Large Community,202504,LOS_ADMITTED,15.75,1065,27.5,8.0
PRHC,East,Large Community,2/2025,WT_PHYS_ASSESS,2.61,4003,69.0,2.0
Grand River Hospital,West,Large Community,2025-01-01,WT_PHYS_ASSESS,2.29,5833,76.0,2.0
Kingston General Hospital,East,Teaching,202605,WT_PHYS_ASSESS,2.26,4605,80.1%,2.0
Oak Valley Health - Markham,Central,Large Community,2025-09,LOS_ADMITTED,17.5,,25.0,8.0
London Victoria Hospital,West,Teaching,2025-03-01,LOS_ADMITTED,15.38,921,30.5,8.0
Thunder Bay Regional,North,Teaching,202512,LOS_HIGH_URGENCY,8.92,1953,77.7,8.0
Hamilton General,West,Teaching,2025-01-01,LOS_ADMITTED,19.7,924,25.0,8.0
HSN Sudbury,North,Teaching,2025-12,LOS_LOW_URGENCY,6.87,2708,47.9,4.0
North York General Hospital,Toronto,Large Community,12/2025,LOS_ADMITTED,19.64,1057,,8.0
Peterborough Regional Health Centre,East,Large Community,202602,LOS_LOW_URGENCY,4.58,3354,73.2,4.0
Windsor Regional Hospital - Ouellette,West,Large Community,2026-04,LOS_ADMITTED,-1.0,733,95.0,8.0
Osler Brampton Civic,Central,Large Community,12/2024,LOS_LOW_URGENCY,6.16,2749,,4.0
Unity Health - St. Michael's,Toronto,Teaching,1/2026,LOS_ADMITTED,16.11,1259,28.6,8.0
UHN - Toronto General,Toronto,Teaching,2025-11,LOS_HIGH_URGENCY,7.33,1775,87.7,8.0
PRHC,East,Large Community,2024-10-01,LOS_LOW_URGENCY,5.21,2870,64.1,4.0
Toronto General Hosp.,Toronto,Teaching,2025-10,LOS_HIGH_URGENCY,,2259,93.1,8.0
Toronto General Hospital,Toronto,Teaching,202411,LOS_HIGH_URGENCY,7.37,2348,84.3,8.0
Osler Brampton Civic,Central,Large Community,202509,LOS_HIGH_URGENCY,6.62,2304,95.0,8.0
Peterborough Regional,East,Large Community,2026-06,LOS_ADMITTED,11.78,762,60.2,8.0
Sudbury Regional Hospital,North,Teaching,2025-07,LOS_ADMITTED,14.32,700,36.9,8.0
Osler Brampton Civic,Central,Large Community,2024-10-01,WT_PHYS_ASSESS,1.96,4263,82.4,2.0
Sunnybrook HSC,Toronto,Teaching,202505,LOS_LOW_URGENCY,6.61,3064,44.7,4.0
Toronto General Hospital,Toronto,Teaching,2026-05-01,LOS_LOW_URGENCY,6.04,2611,58.3,4.0
SUNNYBROOK,Toronto,Teaching,202607,WT_PHYS_ASSESS,1.98,4970,,2.0
RVH Barrie,Central,Large Community,2026-06,LOS_LOW_URGENCY,5.4,3141,66.2,4.0
Lakeridge Oshawa,Central,Large Community,202501,LOS_HIGH_URGENCY,8.97,2549,76.3,8.0
Niagara Health SCS,West,Large Community,202409,LOS_ADMITTED,14.33,,42.6,8.0
KHSC,East,Teaching,2026-01,los_low_urgency,6.39,2621,50.0,4.0
PRHC,East,Large Community,8/2024,WT_PHYS_ASSESS,2.06,3225,84.0,2.0
Unity Health - St. Michael's,Toronto,Teaching,202503,LOS_HIGH_URGENCY,8.04,2200,82.0,8.0
GRH Kitchener,West,Large Community,7/2024,LOS_LOW_URGENCY,4.88,,73.5,4.0
TBRHSC,North,Teaching,2024-09,LOS_ADMITTED,17.57,1110,25.0,8.0
Scarborough General,Toronto,Large Community,2024-09-01,LOS_LOW_URGENCY,4.95,3159,70.6,4.0
Kingston Health Sciences Centre,East,Teaching,2026-04,LOS_LOW_URGENCY,4.33,2973,78.0,4.0
St Michaels Hospital,Toronto,Teaching,2025-03-01,LOS_LOW_URGENCY,5.47,2348,65.2,4.0
Lakeridge Oshawa,Central,Large Community,2025-10,LOS_LOW_URGENCY,4.61,3400,,4.0
St Catharines General,West,Large Community,202504,LOS_LOW_URGENCY,4.6,3372,77.8,4.0
William Osler Health System - Brampton Civic,Central,Large Community,2025-10-01,LOS_HIGH_URGENCY,6.29,1637,92.3,8.0
Hamilton General,West,Teaching,2026-07-01,LOS_HIGH_URGENCY,6.47,1968,93.6,8.0
